"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0028801","Glutaminylleucine","HMDB0028801","44232492",NA,"CC(C)C[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(O)=O","1"
"HMDB0028942","Leucyl-Valine","HMDB0028942","352038",NA,"CC(C)CC(N)C(=O)NC(C(C)C)C(O)=O","1"
"HMDB0028889","Histidylleucine","HMDB0028889","189008","C05010","CC(C)C[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O","1"
"HMDB0029068","Threonylphenylalanine","HMDB0029068","7010579",NA,"C[C@@H](O)[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"HMDB0028933","Leucylleucine","HMDB0028933","94244","C11332","CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(O)=O","1"
"HMDB0000902","NAD","HMDB0000902","5892","C00003","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"HMDB0000767","Pseudouridine","HMDB0000767","15047","C02067","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O","1"
"HMDB0011648","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide","HMDB0011648","11507134","C15497","NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"HMDB0000014","Deoxycytidine","HMDB0000014","13711","C00881","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"HMDB0001517","AICAR","HMDB0001517","65110","C04677","NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"HMDB0006534","D-Xylulose 1-phosphate","HMDB0006534","151020",NA,"OC[C@@H](O)[C@H](O)C(=O)COP(O)(O)=O","1"
"HMDB0005831","Sorbitol-6-phosphate","HMDB0005831","618","C01096","OCC(O)C(O)C(O)C(O)COP(O)(O)=O","1"
"HMDB0001213","1-Deoxy-D-xylulose 5-phosphate","HMDB0001213","443201","C11437","CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O","1"
"HMDB0001193","5(S)-Hydroperoxyeicosatetraenoic acid","HMDB0001193","5280778","C05356","CCCCC\C=C/C\C=C/C\C=C/C=C/[C@H](CCCC(O)=O)OO","1"
"HMDB0037831","xi-8-Hydroxyhexadecanedioic acid","HMDB0037831","16061042",NA,"OC(CCCCCCCC(O)=O)CCCCCCC(O)=O","1"
"HMDB0034561","Houttuynin","HMDB0034561","14443308","C16947","CCCCCCCCCCCC(=O)CC=O","1"
"HMDB0000985","Dihydrolipoamide","HMDB0000985","663","C00579","OC(=N)CCCCC(S)CCS","1"
"HMDB0013127","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617",NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C","1"
"HMDB0000824","Propionylcarnitine","HMDB0000824","188824","C03017","CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0000736","Isobutyryl-L-carnitine","HMDB0000736","168379",NA,"CC(C)C(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0000688","Isovalerylcarnitine","HMDB0000688","6426851",NA,"CC(C)CC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"HMDB0013335","3-Hydroxyhexadecadienoylcarnitine","HMDB0013335","53481689",NA,"CCC\C=C/C\C=C/CCCCC[C@@H](O)CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"HMDB0013334","9,12-Hexadecadienoylcarnitine","HMDB0013334","53481687",NA,"CCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0002250","Dodecanoylcarnitine","HMDB0002250","168381",NA,"CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0011475","LysoPE(0:0/18:1(11Z))","HMDB0011475","53480924",NA,"[H][C@@](CO)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC\C=C/CCCCCC","1"
"HMDB0004610","Phytosphingosine","HMDB0004610","122121","C12144","CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO","1"
"HMDB0001565","Phosphorylcholine","HMDB0001565","1014","C00588","C[N+](C)(C)CCOP(O)(O)=O","1"
"HMDB0031859","Norfuraneol","HMDB0031859","4564493",NA,"CC1=C(O)C(=O)CO1","1"
"HMDB0006101","Enterolactone","HMDB0006101","114739","C18165","OC1=CC=CC(C[C@@H]2COC(=O)[C@H]2CC2=CC(O)=CC=C2)=C1","1"
"HMDB0006236","Phenylacetaldehyde","HMDB0006236","998","C00601","O=CCC1=CC=CC=C1","1"
"HMDB0012556","13'-Carboxy-alpha-tocotrienol","HMDB0012556","53481462",NA,"C\C(CC\C=C(/C)C(O)=O)=C\CC\C(C)=C/CC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C","1"
"HMDB0035830","Genipin","HMDB0035830","23340","C09780","COC(=O)C1=COC(O)C2C1CC=C2CO","1"
"HMDB0000114","Glycerylphosphorylethanolamine","HMDB0000114","123874","C01233","NCCOP(O)(=O)OCC(O)CO","1"
"HMDB0032538","Triethanolamine","HMDB0032538","7618","C06771","OCCN(CCO)CCO","1"
"HMDB0002271","Imidazolepropionic acid","HMDB0002271","70630","C20522","OC(=O)CCC1=CNC=N1","1"
"HMDB0031338","5-Oxo-2(5H)-isoxazolepropanenitrile","HMDB0031338","171055",NA,"O=C1ON(CCC#N)C=C1","1"
"HMDB0001416","Pantetheine 4'-phosphate","HMDB0001416","115254","C01134","CC(C)(COP(O)(O)=O)[C@@H](O)C(=O)NCCC(=O)NCCS","1"
"HMDB0013733","1,2,4-Trimethylbenzene","HMDB0013733","7247","C14533","CC1=CC(C)=C(C)C=C1","1"
